turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,-1,-1,-1,-1,-1,100,0,0,1,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,100,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,2,6
1,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,-1,-1,-1,-1,-1,100,272,6,5,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,100,0,0,2,10
2,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,-1,-1,-1,-1,100,272,6,5,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,-1,-1,-1,-1,-1,98,234,0,5,10
3,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,-1,-1,-1,-1,-1,82,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,-1,-1,-1,-1,99,234,0,5,7
4,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,-1,-1,-1,-1,88,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,-1,-1,-1,-1,100,234,0,5,7
5,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,-1,-1,-1,-1,94,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,-1,-1,-1,-1,100,234,0,5,1
6,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,245,-1,-1,-1,100,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,-1,-1,-1,-1,87,234,0,5,1
7,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,245,-1,-1,-1,90,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,91,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,182,-1,-1,-1,93,234,0,5,1
8,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,245,414,-1,-1,90,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,100,272,6,2,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,-1,-1,-1,-1,-1,93,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,182,-1,-1,-1,93,234,0,2,2
9,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,825,-1,-1,-1,-1,81,0,0,5.39176,3,9,18,18,91,120,81,120,86,100,151,245,414,-1,-1,90,234,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,10.106,4,2,18,18,100,83,118,103,71,73,-1,-1,-1,-1,-1,100,0,0,30.90692,8,8,18,18,78,81,115,63,75,55,194,825,-1,-1,-1,69,0,6,5,12.74404,2,16,18,18,88,87,114,84,112,23,-1,-1,-1,-1,-1,100,0,0,1.9624,2,8,18,18,93,105,116,86,73,43,-1,-1,-1,-1,-1,100,0,0,19.87016,7,15,18,18,66,110,124,67,128,52,414,-1,-1,-1,-1,93,0,0,17.43776,17,0,18,18,91,75,81,108,118,60,-1,-1,-1,-1,-1,100,0,0,7.21052,17,13,18,18,82,56,121,95,95,40,-1,-1,-1,-1,-1,100,0,0,6.77116,14,8,18,18,88,101,160,91,75,53,729,182,-1,-1,-1,93,234,0,2,10
