turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
0,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,-1,-1,-1,-1,-1,100,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,-1,-1,-1,-1,-1,100,0,0,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,4,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,4,9
1,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,-1,-1,-1,-1,-1,100,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,-1,-1,-1,-1,85,0,0,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,4,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,-1,-1,-1,-1,94,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,4,9
2,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,-1,-1,-1,-1,-1,100,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,-1,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,4,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,4,1
3,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,-1,-1,-1,-1,-1,100,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,4,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,2
4,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,-1,-1,-1,-1,-1,93,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,3,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,8
5,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,100,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,402,-1,-1,-1,-1,81,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,3,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,427,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,8
6,9.08052,15,16,18,18,70,126,88,48,83,85,-1,-1,-1,-1,-1,73,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,402,-1,-1,-1,-1,81,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,0,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,427,563,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,5
7,9.08052,15,16,18,18,70,126,88,48,83,85,221,-1,-1,-1,-1,73,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,402,-1,-1,-1,-1,81,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,0,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,427,563,-1,-1,100,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,5
8,9.08052,15,16,18,18,70,126,88,48,83,85,221,49,-1,-1,-1,61,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,402,-1,-1,-1,-1,81,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,100,0,0,0,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,427,563,-1,-1,85,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,1
9,9.08052,15,16,18,18,70,126,88,48,83,85,221,49,-1,-1,-1,61,0,0,5.19032,17,9,18,18,88,86,107,78,85,83,-1,-1,-1,-1,-1,100,0,0,38.92252,14,2,18,18,100,85,131,104,107,55,-1,-1,-1,-1,-1,100,0,0,12.1684,16,2,18,18,79,81,90,68,120,64,402,-1,-1,-1,-1,81,0,0,1.81012,15,10,18,18,95,85,93,81,111,58,806,752,458,-1,-1,64,158,4,3.68152,10,8,18,18,73,101,100,106,83,70,-1,-1,-1,-1,-1,76,234,0,5,10.42152,8,6,18,18,103,126,90,73,60,66,-1,-1,-1,-1,-1,100,0,0,20.3978,13,2,18,18,66,75,70,115,80,74,-1,-1,-1,-1,-1,100,0,0,2.19244,2,10,18,18,108,65,60,116,95,95,-1,-1,-1,-1,-1,100,0,0,22.64456,4,16,18,18,91,96,129,91,72,30,403,427,563,-1,-1,92,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,13,173,-1,-1,-1,82,0,6,5.92684,6,6,18,18,82,126,70,65,95,71,-1,-1,-1,-1,-1,100,0,0,3,10
