turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision
10,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,100,0,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,-1,-1,-1,90,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,4,7
11,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,86,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,0,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,4,7
12,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,92,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,-1,-1,-1,-1,-1,100,0,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,7
13,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,-1,-1,-1,99,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,-1,-1,-1,-1,100,0,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,1
14,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,100,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,-1,-1,-1,70,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,2
15,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,62,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,2,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,76,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,3
16,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,1,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,82,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,6
17,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,0,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,3,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,53,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,8
18,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,0,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,179,-1,-1,-1,-1,18,234,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,3,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,37,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,8
19,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,0,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,179,75,-1,-1,-1,0,234,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,0,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,20,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,5
20,0.59664,2,1,18,18,111,72,70,100,96,88,854,615,-1,-1,-1,88,0,1,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,0,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,735,562,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,179,75,-1,-1,-1,0,234,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,0,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,88,113,-1,-1,-1,0,0,2,0,13.91632,4,17,18,18,60,88,83,65,65,100,726,752,427,825,-1,76,0,0,0.96332,1,16,18,18,75,114,92,91,83,76,-1,-1,-1,-1,-1,100,0,0,11.00216,4,0,18,18,102,104,87,57,114,26,142,752,194,-1,-1,20,234,4,27.32656,17,9,18,18,91,55,85,113,125,73,-1,-1,-1,-1,-1,100,0,0,353070.14672,1,2,4,18,302,120,90,110,90,120,100,88,237,838,-1,-1,96,234,0,19.87016,7,15,18,18,66,110,124,67,128,52,43,414,-1,-1,-1,58,281,0,2,5
