turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,-1,-1,-1,-1,-1,100,0,0,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,-1,-1,-1,-1,-1,100,0,0,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,1,5,600,600,,,0.0
1,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,-1,-1,-1,-1,-1,100,0,0,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,-1,-1,-1,-1,53,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,1,5,560,553,600.0,600.0,0.67
2,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,-1,-1,-1,-1,-1,100,0,0,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,0,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,66,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,1,1,560,566,553.0,560.0,-0.13
3,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,-1,-1,-1,-1,-1,96,234,3,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,4,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,1,9,556,560,566.0,560.0,0.08
4,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,-1,-1,-1,-1,-1,100,234,3,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,4,4.59052,10,17,18,18,66,65,63,128,101,90,-1,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,0,9,560,560,560.0,556.0,0.02
5,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,800,-1,-1,-1,-1,100,234,4,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,4,4.59052,10,17,18,18,66,65,63,128,101,90,95,-1,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,0,9,560,560,560.0,560.0,0.0
6,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,800,-1,-1,-1,-1,60,234,4,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,4,4.59052,10,17,18,18,66,65,63,128,101,90,95,794,-1,-1,-1,100,0,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,0,9,520,560,560.0,560.0,0.2
7,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,800,835,-1,-1,-1,13,234,4,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,3,4.59052,10,17,18,18,66,65,63,128,101,90,95,794,-1,-1,-1,94,234,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,100,0,0,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,0,8,473,554,560.0,520.0,0.295
8,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,100,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,800,835,-1,-1,-1,13,234,4,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,3,4.59052,10,17,18,18,66,65,63,128,101,90,95,794,-1,-1,-1,94,234,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,-1,-1,-1,-1,-1,70,0,2,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,4,8,473,524,554.0,473.0,0.3
9,4.01108,0,9,18,18,63,96,76,46,60,60,217,-1,-1,-1,-1,60,0,0,35.1146,13,14,18,18,68,65,83,129,86,108,-1,-1,-1,-1,-1,100,0,0,11.0506,2,14,18,18,88,139,86,60,90,91,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,33,0,0,19.04716,11,16,18,18,73,75,120,89,90,69,800,835,-1,-1,-1,13,234,4,1.32024,1,7,18,18,81,93,110,111,80,70,-1,-1,-1,-1,-1,100,0,0,3,4.59052,10,17,18,18,66,65,63,128,101,90,95,794,-1,-1,-1,94,234,0,10.8346,2,10,18,18,96,86,93,100,116,93,384,600,-1,-1,-1,60,273,2,26.17372,11,17,18,18,66,70,76,90,65,113,-1,-1,-1,-1,-1,100,0,0,14.579,13,1,18,18,78,95,86,126,85,93,-1,-1,-1,-1,-1,100,0,0,7.74412,14,9,18,18,85,108,115,81,91,90,194,-1,-1,-1,-1,28,0,2,23.725,16,4,18,18,81,98,100,71,127,54,-1,-1,-1,-1,-1,100,0,0,4,1,406,482,524.0,473.0,0.755
