turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,100,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,-1,-1,-1,-1,-1,100,0,0,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,-1,-1,-1,-1,-1,100,0,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,-1,-1,-1,-1,-1,100,0,0,0,9,600,600,,,0.0
1,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,100,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,-1,-1,-1,-1,86,0,0,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,-1,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,-1,-1,-1,-1,-1,100,0,0,0,9,586,541,600.0,600.0,0.66
2,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,100,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,-1,-1,-1,86,0,0,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,-1,-1,-1,-1,-1,100,0,4,5,1,586,541,541.0,586.0,0.0
3,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,100,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,51,0,0,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,-1,-1,-1,-1,100,0,4,5,2,551,541,541.0,586.0,0.175
4,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,100,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,42,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,-1,-1,-1,100,0,4,5,2,542,541,541.0,551.0,0.045
5,16.17052,4,14,18,18,65,141,86,60,63,88,-1,-1,-1,-1,-1,21,0,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,42,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,0,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,570,-1,-1,100,0,4,5,5,463,541,541.0,542.0,0.395
6,16.17052,4,14,18,18,65,141,86,60,63,88,189,-1,-1,-1,-1,11,270,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,42,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,0,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,-1,-1,-1,41,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,570,-1,-1,0,0,4,0,5,453,441,541.0,463.0,1.05
7,16.17052,4,14,18,18,65,141,86,60,63,88,189,-1,-1,-1,-1,11,270,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,48,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,659,-1,-1,31,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,570,-1,-1,0,0,4,0,9,459,431,441.0,453.0,0.13
8,16.17052,4,14,18,18,65,141,86,60,63,88,189,-1,-1,-1,-1,11,270,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,48,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,4,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,659,-1,-1,31,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,-1,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,570,-1,-1,0,0,4,2,9,459,431,431.0,459.0,0.0
9,16.17052,4,14,18,18,65,141,86,60,63,88,189,-1,-1,-1,-1,0,270,0,4.42004,2,6,18,18,66,93,70,33,53,60,-1,-1,-1,-1,-1,100,0,0,0.68956,10,8,18,18,93,101,84,95,91,90,-1,-1,-1,-1,-1,100,0,0,20.43856,16,12,18,18,72,143,78,68,73,68,-1,-1,-1,-1,-1,100,0,0,12.33872,17,2,18,18,80,65,125,81,107,43,486,800,641,-1,-1,48,0,3,14.61172,14,8,18,18,108,100,163,105,81,51,-1,-1,-1,-1,-1,100,0,0,2,3.33528,0,13,18,18,64,100,63,71,64,81,414,528,659,-1,-1,31,270,0,0.73768,0,6,18,18,56,116,58,51,76,94,-1,-1,-1,-1,-1,100,0,0,19.67856,13,0,18,18,60,67,104,81,102,80,329,-1,-1,-1,-1,100,0,0,16.12728,17,13,18,18,76,56,71,115,111,96,-1,-1,-1,-1,-1,100,0,0,5.9578,16,2,18,18,95,103,100,93,94,85,-1,-1,-1,-1,-1,100,0,0,5.3404,1,10,18,18,72,68,47,107,79,99,209,384,570,-1,-1,0,0,4,2,7,448,431,431.0,459.0,0.055
