turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,100,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,0,9,600,600,,,0.0
1,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,-1,-1,-1,-1,-1,100,0,0,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,100,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,0,6,500,600,600.0,600.0,0.5
2,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,0,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,-1,-1,-1,-1,-1,45,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,2,6,500,545,600.0,500.0,0.55
3,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,-1,-1,-1,-1,-1,100,0,0,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,1,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,-1,-1,-1,-1,45,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,2,6,500,545,545.0,500.0,0.0
4,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,-1,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,2,8,500,596,545.0,500.0,-0.51
5,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,729,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,-1,-1,-1,-1,-1,100,0,0,5,8,500,596,596.0,500.0,0.0
6,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,-1,-1,-1,-1,-1,100,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,729,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,100,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,767,-1,-1,-1,-1,100,0,0,5,7,500,596,596.0,500.0,0.0
7,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,34,-1,-1,-1,-1,3,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,729,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,100,0,0,2,40.1014,17,14,18,18,91,68,75,105,113,102,260,-1,-1,-1,-1,88,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,767,90,-1,-1,-1,0,0,0,0,7,403,484,596.0,500.0,1.605
8,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,34,-1,-1,-1,-1,3,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,729,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,-1,-1,-1,-1,-1,55,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,260,75,-1,-1,-1,88,0,0,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,767,90,-1,-1,-1,0,0,0,0,10,358,484,484.0,403.0,0.225
9,16.89732,16,14,18,18,72,134,120,60,63,81,-1,-1,-1,-1,-1,0,0,0,7.3504,2,8,18,18,92,121,96,79,83,94,384,-1,-1,-1,-1,100,0,1,9.57316,6,3,18,18,76,93,73,115,80,106,34,-1,-1,-1,-1,3,0,0,17.70968,17,9,18,18,81,80,115,95,101,90,729,-1,-1,-1,-1,100,272,6,1.90104,1,15,18,18,93,126,100,98,86,72,-1,-1,-1,-1,-1,100,0,0,9.66912,2,13,18,18,106,61,123,88,98,40,806,-1,-1,-1,-1,10,234,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,260,75,-1,-1,-1,82,0,6,2.6924,0,9,18,18,90,132,88,83,83,71,-1,-1,-1,-1,-1,100,0,0,10.87052,4,17,18,18,70,63,80,62,88,114,687,745,-1,-1,-1,96,0,0,2.01336,6,15,18,18,93,132,100,75,90,59,-1,-1,-1,-1,-1,100,0,0,26.95364,12,5,18,18,105,105,67,81,89,102,-1,-1,-1,-1,-1,100,0,0,2.0246,8,16,18,18,63,113,103,51,80,58,767,90,-1,-1,-1,0,0,0,0,10,313,478,484.0,358.0,0.285
