turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,3,12.58496,10,3,18,18,66,73,60,119,83,108,-1,-1,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,8,600,600,,,0.0
1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,3,12.58496,10,3,18,18,66,73,60,119,83,108,735,-1,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,8,600,600,600.0,600.0,0.0
2,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,3,12.58496,10,3,18,18,66,73,60,119,83,108,735,-1,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,1,600,600,600.0,600.0,0.0
3,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,3,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,1,522,600,600.0,600.0,0.39
4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,0,6,522,600,600.0,522.0,0.0
5,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,-1,-1,-1,-1,76,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,6,498,600,600.0,522.0,0.12
6,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,864,-1,-1,-1,27,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,49,-1,-1,-1,-1,22,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,1,449,522,600.0,498.0,1.025
7,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,864,-1,-1,-1,27,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,73,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,2,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,49,414,-1,-1,-1,29,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,7,422,529,522.0,449.0,0.065
8,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,864,-1,-1,-1,27,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,759,-1,-1,-1,-1,73,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,2,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,-1,-1,-1,-1,-1,12,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,49,414,-1,-1,-1,29,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,3,7,422,441,529.0,422.0,0.88
9,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,752,864,-1,-1,-1,27,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,759,-1,-1,-1,-1,73,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,151,775,-1,-1,-1,22,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,39.58984,13,16,18,18,68,127,100,77,83,60,-1,-1,-1,-1,-1,100,0,0,2,12.58496,10,3,18,18,66,73,60,119,83,108,735,570,-1,-1,-1,100,0,0,13.24412,16,16,18,18,63,120,105,65,83,73,-1,-1,-1,-1,-1,100,0,0,23.36844,13,5,18,18,61,58,103,140,91,70,-1,-1,-1,-1,-1,100,0,0,27.32964,8,7,18,18,79,108,86,55,76,93,194,-1,-1,-1,-1,0,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,49,414,-1,-1,-1,29,234,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,5,1,422,429,441.0,422.0,0.12
