turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value
0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,18.23564,4,13,18,18,62,78,130,56,120,23,-1,-1,-1,-1,-1,100,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,0,6,600,600,,,0.0
1,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,18.23564,4,13,18,18,62,78,130,56,120,23,729,-1,-1,-1,-1,100,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,0,6,600,600,600.0,600.0,0.0
2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,100,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,0,1,600,600,600.0,600.0,0.0
3,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,24,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,0,1,600,524,600.0,600.0,0.76
4,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,100,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,1,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,2,2,600,500,524.0,600.0,0.24
5,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,-1,-1,-1,-1,-1,76,0,0,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,3,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,384,-1,-1,-1,-1,100,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,2,8,476,500,500.0,600.0,0.62
6,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,414,-1,-1,-1,-1,76,272,6,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,3,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,384,-1,-1,-1,-1,0,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,5,8,476,400,500.0,476.0,1.0
7,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,55,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,414,-1,-1,-1,-1,76,272,6,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,0,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,384,-1,-1,-1,-1,0,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,-1,-1,-1,-1,100,0,0,5,5,431,400,400.0,476.0,0.225
8,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,55,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,414,-1,-1,-1,-1,76,272,6,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,0,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,65,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,384,-1,-1,-1,-1,0,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,-1,-1,-1,-1,100,0,0,1,5,431,365,400.0,431.0,0.35
9,7.93516,16,1,18,18,105,110,90,96,91,100,632,403,-1,-1,-1,55,0,0,1.30136,8,9,18,18,70,116,100,66,86,68,767,194,-1,-1,-1,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,17.44732,15,9,18,18,71,103,105,45,81,105,414,-1,-1,-1,-1,76,272,6,19.75228,16,6,18,18,58,113,83,73,78,71,-1,-1,-1,-1,-1,100,0,0,1.92488,3,9,18,18,55,73,125,93,70,70,-1,-1,-1,-1,-1,100,0,0,0,18.23564,4,13,18,18,62,78,130,56,120,23,729,717,-1,-1,-1,0,0,0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,39,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,384,-1,-1,-1,-1,0,0,0,20.35636,15,9,18,18,93,125,83,120,86,99,-1,-1,-1,-1,-1,100,0,0,10.27736,17,15,18,18,90,106,105,111,110,67,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,391,-1,-1,-1,-1,100,0,0,1,1,431,339,365.0,431.0,0.26
