turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,-1,-1,-1,-1,-1,100,0,0,9.04216,2,16,18,18,78,86,109,71,118,46,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,-1,-1,-1,-1,-1,100,0,0,5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,10,600,600
1,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,-1,-1,-1,-1,-1,100,0,0,9.04216,2,16,18,18,78,86,109,71,118,46,-1,-1,-1,-1,-1,100,0,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,5,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,10,600,600
2,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,-1,-1,-1,-1,-1,100,0,0,9.04216,2,16,18,18,78,86,109,71,118,46,-1,-1,-1,-1,-1,47,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,7,547,600
3,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,-1,-1,-1,-1,-1,100,0,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,53,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,2,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,7,553,600
4,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,-1,-1,-1,-1,-1,100,0,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,6,500,600
5,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,641,-1,-1,-1,-1,30,281,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,8,-1,-1,77,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,6,430,577
6,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,641,43,-1,-1,-1,36,281,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,1,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,8,-1,-1,65,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,1,436,565
7,18.00296,17,15,18,18,96,111,95,105,120,60,-1,-1,-1,-1,-1,100,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,641,43,-1,-1,-1,0,281,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,8,-1,-1,40,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,4,5,400,540
8,18.00296,17,15,18,18,96,111,95,105,120,60,164,-1,-1,-1,-1,47,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,641,43,-1,-1,-1,0,281,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,8,-1,-1,0,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,5,5,347,500
9,18.00296,17,15,18,18,96,111,95,105,120,60,164,-1,-1,-1,-1,0,0,0,9.02116,4,7,18,18,76,78,87,62,117,73,641,43,-1,-1,-1,0,281,0,9.04216,2,16,18,18,78,86,109,71,118,46,718,-1,-1,-1,-1,0,234,0,24.41716,15,9,18,18,90,85,87,122,78,96,-1,-1,-1,-1,-1,100,0,0,0.70916,17,10,18,18,96,90,91,96,93,86,-1,-1,-1,-1,-1,100,0,0,18.04988,13,9,18,18,55,96,128,58,115,78,567,-1,-1,-1,-1,100,272,6,4,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,11.76568,16,10,18,18,93,93,86,110,103,106,-1,-1,-1,-1,-1,100,0,0,14.69632,1,14,18,18,102,136,88,80,73,98,-1,-1,-1,-1,-1,100,0,0,6.4828,13,0,18,18,68,75,66,131,75,96,-1,-1,-1,-1,-1,100,0,0,6.83772,15,9,18,18,70,113,75,48,83,111,11,49,8,-1,-1,0,0,5,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,100,0,0,5,9,300,500
