turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,4,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,-1,-1,-1,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,9,600,600
1,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,4,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,-1,-1,-1,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,9,594,500
2,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,-1,-1,-1,-1,-1,100,0,0,5,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,11,-1,-1,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,10,594,500
3,19.19672,2,8,18,18,61,76,176,38,108,21,-1,-1,-1,-1,-1,100,0,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,-1,-1,-1,-1,71,0,0,0,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,-1,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,5,565,500
4,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,-1,-1,-1,-1,71,0,0,0,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,5,517,500
5,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,-1,-1,-1,-1,57,0,0,5,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,100,0,0,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,10,503,500
6,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,856,-1,-1,-1,57,0,0,5,5.4868,16,9,18,18,83,81,116,81,141,73,-1,-1,-1,-1,-1,94,234,0,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,0,1,503,494
7,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,100,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,856,854,-1,-1,100,0,0,5,5.4868,16,9,18,18,83,81,116,81,141,73,729,-1,-1,-1,-1,94,234,2,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,0,2,546,494
8,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,-1,-1,-1,-1,-1,52,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,856,854,-1,-1,100,0,0,1,5.4868,16,9,18,18,83,81,116,81,141,73,729,615,-1,-1,-1,94,234,2,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,100,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,0,6,498,494
9,19.19672,2,8,18,18,61,76,176,38,108,21,729,-1,-1,-1,-1,52,234,0,14.38028,17,16,18,18,83,66,131,105,126,60,600,-1,-1,-1,-1,100,234,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,5.55928,3,10,18,18,86,90,81,126,96,106,-1,-1,-1,-1,-1,100,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,262,-1,-1,-1,-1,94,0,2,3.16812,15,13,18,18,83,61,76,68,115,78,528,856,854,-1,-1,100,0,0,1,5.4868,16,9,18,18,83,81,116,81,141,73,729,615,-1,-1,-1,94,234,2,0.64576,3,8,18,18,87,98,79,111,85,90,11,794,384,-1,-1,0,0,0,6.23256,1,16,18,18,80,68,142,99,102,50,-1,-1,-1,-1,-1,0,0,0,4.01108,0,9,18,18,63,96,76,46,60,60,-1,-1,-1,-1,-1,100,0,0,36.29116,4,2,18,18,66,73,145,53,124,30,-1,-1,-1,-1,-1,100,0,0,43.69096,14,2,18,18,78,73,110,83,143,30,-1,-1,-1,-1,-1,100,0,0,1,6,546,394
