turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,-1,-1,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,4,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,-1,-1,-1,-1,-1,100,0,0,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,3,9,600,600
1,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,-1,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,4,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,3,9,600,600
2,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,100,0,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,4,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,-1,-1,-1,-1,-1,76,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,1,600,576
3,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,100,0,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,1,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,-1,-1,-1,-1,82,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,6,563,582
4,8.07572,17,16,18,18,88,86,111,81,98,33,-1,-1,-1,-1,-1,94,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,-1,-1,-1,-1,88,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,5,557,588
5,8.07572,17,16,18,18,88,86,111,81,98,33,427,-1,-1,-1,-1,99,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,729,-1,-1,-1,94,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,5,562,594
6,8.07572,17,16,18,18,88,86,111,81,98,33,427,-1,-1,-1,-1,100,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,729,427,-1,-1,100,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,1,563,600
7,8.07572,17,16,18,18,88,86,111,81,98,33,427,-1,-1,-1,-1,100,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,729,427,-1,-1,88,234,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,1,563,588
8,8.07572,17,16,18,18,88,86,111,81,98,33,427,414,-1,-1,-1,100,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,729,427,-1,-1,67,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,1,563,567
9,8.07572,17,16,18,18,88,86,111,81,98,33,427,414,718,-1,-1,100,234,0,19.13416,16,16,18,18,73,111,120,86,88,83,-1,-1,-1,-1,-1,63,234,0,20.60264,8,5,18,18,86,119,70,58,75,114,-1,-1,-1,-1,-1,100,0,0,21.46408,13,9,18,18,63,80,131,78,95,73,-1,-1,-1,-1,-1,100,0,0,23.8994,16,17,18,18,85,86,94,93,95,83,800,147,-1,-1,-1,100,0,0,12.98228,1,9,18,18,78,97,67,69,71,128,-1,-1,-1,-1,-1,100,0,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,4.77156,3,5,18,18,63,110,61,75,81,120,-1,-1,-1,-1,-1,100,0,0,1.3924,7,7,18,18,76,73,66,90,78,116,-1,-1,-1,-1,-1,100,0,0,23.42084,14,17,18,18,85,73,70,123,116,76,812,-1,-1,-1,-1,100,0,4,12.68032,15,16,18,18,88,84,124,58,125,35,267,729,427,528,-1,55,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,4,2,563,555
