turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,-1,-1,-1,-1,-1,100,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,-1,-1,-1,-1,-1,100,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,0,10,600,600
1,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,-1,-1,-1,-1,68,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,-1,-1,-1,-1,27,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,-1,-1,-1,-1,-1,100,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,0,10,568,527
2,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,-1,-1,-1,68,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,-1,-1,-1,-1,27,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,-1,-1,-1,-1,-1,100,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,3,1,568,527
3,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,-1,-1,68,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,-1,-1,-1,-1,27,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,-1,-1,-1,-1,100,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,3,2,568,527
4,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,-1,-1,68,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,-1,-1,-1,-1,27,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,3,3,568,428
5,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,194,-1,68,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,-1,-1,-1,-1,27,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,0,3,568,428
6,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,100,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,194,-1,3,0,0,5,1.13488,6,9,18,18,88,103,80,66,83,105,545,113,-1,-1,-1,0,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,-1,-1,-1,-1,-1,100,0,0,5,2,503,401
7,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,88,0,0,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,194,-1,0,0,0,4,1.13488,6,9,18,18,88,103,80,66,83,105,545,113,-1,-1,-1,0,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,641,-1,-1,-1,-1,100,0,0,5,9,488,401
8,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,100,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,13,281,4,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,194,-1,0,0,0,4,1.13488,6,9,18,18,88,103,80,66,83,105,545,113,-1,-1,-1,0,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,641,793,-1,-1,-1,100,0,0,5,9,413,401
9,9.02968,16,6,18,18,86,120,86,86,86,80,-1,-1,-1,-1,-1,98,0,0,10.65368,8,6,18,18,76,111,88,66,73,85,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0,0,35.22008,15,9,18,18,69,103,83,64,67,102,-1,-1,-1,-1,-1,100,0,0,5.115,2,7,18,18,77,88,109,102,90,60,-1,-1,-1,-1,-1,0,281,4,21.79564,4,8,18,18,85,118,107,62,105,74,740,767,563,194,-1,0,0,0,0,1.13488,6,9,18,18,88,103,80,66,83,105,545,113,-1,-1,-1,0,540,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,1.22916,1,3,18,18,80,66,76,110,83,130,-1,-1,-1,-1,-1,100,0,0,10.8932,10,12,18,18,90,74,149,32,65,41,132,729,-1,-1,-1,1,0,0,8.35776,17,1,18,18,83,60,84,111,90,73,-1,-1,-1,-1,-1,100,0,0,8.41848,3,2,18,18,76,73,88,116,93,66,641,793,835,-1,-1,100,0,0,1,5,398,401
