turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,-1,-1,-1,-1,-1,100,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,1,8,600,600
1,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,-1,-1,-1,-1,100,0,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,-1,-1,-1,-1,100,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,1,8,600,600
2,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,-1,-1,-1,100,0,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,20,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,1,1,600,520
3,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,-1,-1,-1,100,0,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,20,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,1,2,600,520
4,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,-1,-1,-1,100,0,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,-1,-1,-1,-1,-1,100,0,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,2,2,600,500
5,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,620,-1,-1,20,203,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,3,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,647,-1,-1,-1,-1,58,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,2,2,520,458
6,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,620,-1,-1,0,203,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,2,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,647,-1,-1,-1,-1,12,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,2,7,500,412
7,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,641,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,620,-1,-1,0,203,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,2,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,647,-1,-1,-1,-1,0,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,-1,-1,-1,-1,-1,100,0,0,5,7,500,400
8,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,641,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,620,-1,-1,0,203,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,-1,-1,-1,-1,-1,100,0,0,5,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,647,-1,-1,-1,-1,0,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,175,-1,-1,-1,-1,100,0,0,5,10,500,400
9,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.46796,17,16,18,18,90,73,124,88,110,53,-1,-1,-1,-1,-1,100,0,0,2.66692,2,3,18,18,70,81,78,105,90,115,641,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,367,90,620,-1,-1,0,203,0,7.52524,1,15,18,18,91,114,80,88,76,93,-1,-1,-1,-1,-1,100,0,0,26.2612,17,8,18,18,99,108,85,100,115,88,194,-1,-1,-1,-1,4,0,0,5,26.36308,6,5,18,18,87,88,71,109,77,68,-1,-1,-1,-1,-1,100,0,0,14.2018,17,9,18,18,90,91,65,93,111,106,567,175,-1,-1,-1,0,0,0,11.98472,16,1,18,18,71,100,104,81,71,72,647,-1,-1,-1,-1,0,234,0,24.37964,17,14,18,18,87,86,91,121,106,92,-1,-1,-1,-1,-1,100,0,0,2.26816,12,7,18,18,93,98,70,76,83,37,-1,-1,-1,-1,-1,100,0,0,13.60448,14,16,18,18,74,135,96,58,73,75,175,90,-1,-1,-1,0,540,0,3,10,404,300
