turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,-1,-1,-1,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,-1,-1,-1,-1,-1,100,0,0,4,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,-1,-1,-1,-1,-1,100,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,100,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2,9,600,600
1,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,-1,-1,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,-1,-1,-1,-1,-1,100,0,0,5,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,-1,-1,-1,-1,84,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,100,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,2,10,600,584
2,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,-1,-1,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,61,0,0,5,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,100,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,5,10,561,500
3,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,-1,-1,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,4,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,100,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,5,9,500,500
4,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,-1,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,4,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,100,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,1,1,500,500
5,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,251,-1,-1,100,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,4,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,-1,-1,-1,-1,-1,46,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,3,2,500,446
6,23.15804,0,16,18,18,76,93,100,113,78,90,-1,-1,-1,-1,-1,100,0,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,251,-1,-1,0,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,0,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,414,-1,-1,-1,-1,18,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,3,5,400,418
7,23.15804,0,16,18,18,76,93,100,113,78,90,811,-1,-1,-1,-1,91,270,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,251,-1,-1,0,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,0,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,46,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,414,-1,-1,-1,-1,18,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,1,5,391,364
8,23.15804,0,16,18,18,76,93,100,113,78,90,811,-1,-1,-1,-1,81,270,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,100,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,251,-1,-1,0,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,0,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,414,-1,-1,-1,-1,18,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,-1,-1,-1,-1,100,0,0,5,1,381,318
9,23.15804,0,16,18,18,76,93,100,113,78,90,811,-1,-1,-1,-1,81,270,0,10.53284,10,9,18,18,103,88,85,125,85,70,-1,-1,-1,-1,-1,100,0,0,8.13804,4,15,18,18,96,125,108,81,90,59,-1,-1,-1,-1,-1,100,0,0,0.50216,1,10,18,18,85,94,92,106,90,100,-1,-1,-1,-1,-1,61,0,0,15.45908,10,3,18,18,68,73,61,115,96,98,835,382,251,-1,-1,0,0,0,25.53256,17,13,18,18,83,61,61,108,121,90,487,-1,-1,-1,-1,0,0,0,3,23.94136,15,9,18,18,92,95,64,94,57,107,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,0,0,1,12.58496,10,3,18,18,66,73,60,119,83,108,735,159,-1,-1,-1,0,0,0,34.1138,15,13,18,18,63,115,133,55,63,46,414,-1,-1,-1,-1,18,0,0,8.50504,10,2,18,18,93,90,73,85,86,80,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,755,632,-1,-1,-1,100,0,0,5,8,342,318
