turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,-1,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,4,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,-1,-1,-1,-1,-1,100,0,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,9,600,600
1,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,-1,-1,-1,-1,100,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,4,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,-1,-1,-1,-1,100,0,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,9,600,600
2,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,-1,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,4,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,-1,-1,-1,96,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,1,501,596
3,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,4,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,-1,-1,-1,100,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,2,501,600
4,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,4,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,-1,-1,-1,99,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,2,501,599
5,27.19584,8,9,18,18,102,108,93,61,57,92,-1,-1,-1,-1,-1,100,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,0,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,794,-1,-1,100,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,5,501,600
6,27.19584,8,9,18,18,102,108,93,61,57,92,767,-1,-1,-1,-1,22,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,0,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,794,285,-1,100,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,5,423,600
7,27.19584,8,9,18,18,102,108,93,61,57,92,767,-1,-1,-1,-1,0,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,-1,-1,-1,-1,-1,100,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,2,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,794,285,-1,100,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,7,401,600
8,27.19584,8,9,18,18,102,108,93,61,57,92,767,-1,-1,-1,-1,0,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,247,-1,-1,-1,-1,0,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,-1,-1,-1,-1,-1,100,0,0,5,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,794,285,-1,58,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,3,10,301,558
9,27.19584,8,9,18,18,102,108,93,61,57,92,767,-1,-1,-1,-1,0,0,0,14.81924,13,4,18,18,73,85,96,130,93,93,-1,-1,-1,-1,-1,100,0,0,11.53916,17,1,18,18,93,95,75,106,113,83,247,-1,-1,-1,-1,0,0,0,7.4352,0,3,18,18,78,70,63,126,81,116,-1,-1,-1,-1,-1,100,0,0,12.56896,11,10,18,18,68,69,60,108,71,109,735,87,157,-1,-1,1,0,0,17.22356,3,5,18,18,73,121,65,78,85,115,388,-1,-1,-1,-1,22,270,0,5,7.46336,14,1,18,18,78,90,60,123,100,100,-1,-1,-1,-1,-1,100,0,0,11.45712,0,17,18,18,79,70,66,131,88,83,-1,-1,-1,-1,-1,100,0,0,2.78152,11,2,18,18,75,113,100,63,81,73,-1,-1,-1,-1,-1,100,0,0,17.3726,3,9,18,18,75,74,95,125,78,83,588,13,794,285,-1,0,234,0,11.20776,16,6,18,18,69,123,103,51,61,48,-1,-1,-1,-1,-1,100,0,0,11.34984,2,3,18,18,123,65,76,100,96,43,-1,-1,-1,-1,-1,100,0,0,0,10,223,500
