turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,16.45264,15,8,18,18,82,126,85,56,85,109,-1,-1,-1,-1,-1,100,0,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,-1,-1,-1,-1,-1,100,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,5.0,5.0,600,600
1,16.45264,15,8,18,18,82,126,85,56,85,109,414,-1,-1,-1,-1,84,540,0,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,-1,-1,-1,-1,-1,61,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,5.0,584,561
2,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,-1,-1,-1,78,540,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,-1,-1,-1,-1,61,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,1.0,578,561
3,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,72,540,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,-1,-1,-1,100,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,2.0,572,600
4,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,51,540,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,-1,-1,100,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,2.0,551,600
5,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,34,0,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,414,-1,100,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,2.0,534,600
6,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,19,0,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,414,-1,61,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,1.0,519,561
7,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,13,0,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,0.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,414,-1,100,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,2.0,513,600
8,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,0,0,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,-1,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,3.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,100,0.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,414,-1,55,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,2.0,8.0,500,555
9,16.45264,15,8,18,18,82,126,85,56,85,109,414,175,729,-1,-1,0,0,2,5.89152,4,3,18,18,61,66,61,120,101,116,-1,-1,-1,-1,-1,100,0,0,10.34932,6,14,18,18,58,138,77,43,96,93,-1,-1,-1,-1,-1,100,0,0,4.52576,14,7,18,18,73,73,66,130,98,110,171,-1,-1,-1,-1,100,0.0,0.0,26.82736,16,4,18,18,76,132,110,92,90,50,-1,-1,-1,-1,-1,100,0.0,0.0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0.0,3.0,4.20736,16,7,18,18,93,80,76,93,106,100,-1,-1,-1,-1,-1,71,281.0,0.0,1.40072,2,1,18,18,81,64,73,80,126,90,-1,-1,-1,-1,-1,100,0.0,0.0,17.56316,14,13,18,18,82,78,123,105,88,53,854,628,721,414,-1,55,0.0,0.0,5.22052,15,8,18,18,58,81,158,61,65,36,-1,-1,-1,-1,-1,100,0.0,0.0,1.53772,1,0,18,18,90,123,76,91,78,68,-1,-1,-1,-1,-1,100,0.0,0.0,30.95668,8,2,18,18,68,71,128,40,93,35,-1,-1,-1,-1,-1,100,0,0,0.0,8.0,500,526
