turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent
0,1.15832,10,1,18,18,151,61,69,49,72,77,-1,-1,-1,-1,-1,100,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,100,0,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,-1,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,-1,-1,-1,-1,-1,100,0,0,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,4,5,600,600
1,1.15832,10,1,18,18,151,61,69,49,72,77,854,-1,-1,-1,-1,40,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,100,0,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,-1,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,-1,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,4,5,540,595
2,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,33,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,100,0,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,-1,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,3,1,533,595
3,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,-1,-1,-1,-1,-1,100,0,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,0,7,500,595
4,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,62,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,2,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,91,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,0,7,462,586
5,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,-1,-1,-1,-1,-1,100,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,81,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,0,6,400,576
6,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,88,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,0,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,100,0,0,1,6,388,495
7,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,76,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,0,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,-1,-1,-1,-1,-1,57,281,0,5,1,376,452
8,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,24,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,0,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,641,-1,-1,-1,-1,13,281,0,5,1,324,408
9,1.15832,10,1,18,18,151,61,69,49,72,77,854,152,-1,-1,-1,0,0,0,0.32996,1,10,18,18,72,78,82,106,85,110,245,-1,-1,-1,-1,24,0,0,11.13924,14,3,18,18,84,96,71,99,86,98,800,-1,-1,-1,-1,0,234,0,24.2506,16,14,18,18,95,80,86,99,93,115,-1,-1,-1,-1,-1,100,0,0,17.27028,16,9,18,18,69,88,96,51,67,102,-1,-1,-1,-1,-1,100,0,0,9.69352,0,13,18,18,83,96,71,76,73,91,-1,-1,-1,-1,-1,100,0,0,1,7.93516,16,1,18,18,105,110,90,96,91,100,541,-1,-1,-1,-1,0,270,0,27.84328,16,9,18,18,63,90,113,68,83,88,-1,-1,-1,-1,-1,100,0,0,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,74,0,0,6.89824,2,4,18,18,73,91,111,103,73,71,641,-1,-1,-1,-1,100,0,0,17.89508,8,6,18,18,88,108,74,78,70,102,194,825,-1,-1,-1,95,0,2,7.37312,2,7,18,18,83,71,70,108,108,70,641,-1,-1,-1,-1,13,281,0,2,1,324,382
