turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,-1,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,-1,-1,-1,-1,-1,100,0,0,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,3,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,-1,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,100,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,4,8,600,600,,,0.0,1215,1439,1
1,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,-1,-1,-1,-1,-1,100,0,0,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,3,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,-1,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,1,8,600,500,600.0,600.0,1.0,1215,1439,1
2,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,-1,-1,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,4,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,1,9,600,500,500.0,600.0,0.0,1215,1439,1
3,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,-1,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,4,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,70,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,9,600,470,500.0,600.0,0.3,1215,1439,1
4,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,4,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,-1,-1,-1,-1,76,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,1,600,476,470.0,600.0,-0.06,1215,1439,1
5,7.87616,16,3,18,18,60,93,75,76,83,103,-1,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,-1,-1,-1,-1,82,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,5,600,482,476.0,600.0,-0.06,1215,1439,1
6,7.87616,16,3,18,18,60,93,75,76,83,103,200,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,194,-1,-1,-1,94,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,5,600,494,482.0,600.0,-0.12,1215,1439,1
7,7.87616,16,3,18,18,60,93,75,76,83,103,200,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,194,-1,-1,-1,100,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,1,600,500,494.0,600.0,-0.06,1215,1439,1
8,7.87616,16,3,18,18,60,93,75,76,83,103,200,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,194,-1,-1,-1,100,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,1,600,500,500.0,600.0,0.0,1215,1439,1
9,7.87616,16,3,18,18,60,93,75,76,83,103,200,-1,-1,-1,-1,100,0,0,11.16092,13,6,18,18,68,107,69,90,65,93,-1,-1,-1,-1,-1,100,0,0,4.02156,17,16,18,18,83,58,136,79,106,40,-1,-1,-1,-1,-1,100,0,0,30.50632,15,9,18,18,66,89,67,104,63,119,514,-1,-1,-1,-1,100,0,0,8.97248,8,15,18,18,81,75,115,50,93,75,267,151,-1,-1,-1,100,272,6,20.19016,0,1,18,18,118,118,83,66,65,86,-1,-1,-1,-1,-1,100,0,0,0,28.3268,0,14,18,18,85,73,76,122,76,112,-1,-1,-1,-1,-1,100,0,0,8.65604,12,15,18,18,98,144,93,75,66,60,729,-1,-1,-1,-1,100,0,0,23.90196,2,2,18,18,131,70,101,70,73,23,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,142,194,-1,-1,-1,100,272,6,9.7394,4,8,18,18,96,113,121,93,53,50,-1,-1,-1,-1,-1,0,0,0,25.72636,16,2,18,18,83,75,134,84,114,56,-1,-1,-1,-1,-1,100,0,0,3,1,600,500,500.0,600.0,0.0,1215,1439,1
