turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,29.86508,15,3,18,18,66,93,73,72,66,95,-1,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,0,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,-1,-1,-1,-1,-1,100,0,0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,2,5,600,600,,,0.0,1214,1000,0
1,29.86508,15,3,18,18,66,93,73,72,66,95,735,-1,-1,-1,-1,100,0,0,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,0,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,-1,-1,-1,-1,100,0,0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,2,5,600,600,600.0,600.0,0.0,1214,1000,0
2,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,-1,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,0,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,100,0,0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,-1,-1,-1,-1,-1,100,0,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,2,1,552,600,600.0,600.0,0.24,1214,1000,0
3,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,-1,-1,-1,-1,-1,100,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,3,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,100,0,0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,-1,-1,-1,-1,-1,85,234,0,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,4,8,552,585,600.0,552.0,0.15,1214,1000,0
4,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,3,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,100,0,0,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,4,8,551,526,585.0,552.0,0.595,1214,1000,0
5,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,100,0,0,3,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,84,281,2,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,2,1,551,510,526.0,551.0,0.16,1214,1000,0
6,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,-1,-1,-1,-1,-1,82,0,2,5,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,100,0,0,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,84,281,2,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,2,10,533,510,510.0,551.0,0.09,1214,1000,0
7,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,218,-1,-1,-1,-1,76,0,2,5,17.48468,3,9,18,18,71,86,121,101,85,83,-1,-1,-1,-1,-1,71,272,6,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,84,281,2,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,100,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,0,10,527,481,510.0,533.0,0.32,1214,1000,0
8,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,218,848,-1,-1,-1,45,0,2,5,17.48468,3,9,18,18,71,86,121,101,85,83,835,-1,-1,-1,-1,71,272,6,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,84,281,2,13.59024,0,13,18,18,126,110,121,58,89,33,-1,-1,-1,-1,-1,83,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3,1,496,464,481.0,527.0,0.325,1214,1000,0
9,29.86508,15,3,18,18,66,93,73,72,66,95,735,729,835,-1,-1,52,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,3.48464,17,10,18,18,90,76,84,100,103,93,-1,-1,-1,-1,-1,100,0,0,7.93516,16,1,18,18,105,110,90,96,91,100,632,-1,-1,-1,-1,99,0,0,11.24992,16,9,18,18,85,135,96,100,86,90,-1,-1,-1,-1,-1,100,0,0,7.59568,0,9,18,18,131,100,105,58,98,73,218,848,628,-1,-1,80,0,2,5,17.48468,3,9,18,18,71,86,121,101,85,83,835,-1,-1,-1,-1,71,272,6,0.3316,13,8,18,18,67,89,71,115,75,93,-1,-1,-1,-1,-1,100,0,0,19.77076,2,2,18,18,83,67,139,77,124,51,807,641,-1,-1,-1,84,281,2,13.59024,0,13,18,18,126,110,121,58,89,33,249,-1,-1,-1,-1,96,0,0,3.24832,15,16,18,18,88,81,130,60,106,48,595,-1,-1,-1,-1,26,234,2,3.70856,14,7,18,18,76,73,66,116,98,96,-1,-1,-1,-1,-1,100,0,0,3,2,531,477,464.0,496.0,0.045,1214,1000,0
