turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,-1,-1,-1,-1,-1,100,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,100,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,-1,-1,-1,-1,-1,100,0,0,4,13.12276,16,0,18,18,91,100,77,86,88,110,-1,-1,-1,-1,-1,100,0,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,0,9,600,600,,,0.0,1000,1000,0
1,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,-1,-1,-1,-1,-1,100,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,53,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,-1,-1,-1,-1,-1,100,0,0,4,13.12276,16,0,18,18,91,100,77,86,88,110,221,-1,-1,-1,-1,91,270,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,0,9,553,591,600.0,600.0,0.325,1000,1000,0
2,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,-1,-1,-1,-1,-1,100,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,-1,-1,-1,-1,-1,100,0,0,3,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,-1,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,1,8,500,581,591.0,553.0,0.365,1000,1000,0
3,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,-1,-1,-1,-1,-1,100,0,0,3,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,-1,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,4,8,444,570,581.0,500.0,0.39,1000,1000,0
4,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,-1,-1,-1,-1,-1,89,234,0,5,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,4,10,433,570,570.0,444.0,0.055,1000,1000,0
5,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,856,-1,-1,-1,-1,96,234,0,5,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,-1,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,2,10,440,570,570.0,433.0,0.035,1000,1000,0
6,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,856,-1,-1,-1,-1,96,234,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,402,-1,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,2,7,440,570,570.0,440.0,0.0,1000,1000,0
7,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,175,-1,-1,-1,-1,100,0,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,856,-1,-1,-1,-1,96,234,0,2,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,402,95,-1,-1,-1,100,0,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,2,7,440,570,570.0,440.0,0.0,1000,1000,0
8,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,175,194,-1,-1,-1,0,270,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,856,-1,-1,-1,-1,96,234,0,1,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,402,95,741,-1,-1,55,234,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,2,6,340,525,570.0,440.0,0.95,1000,1000,0
9,6.61616,2,16,18,18,90,78,128,68,93,45,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,194,-1,-1,-1,-1,100,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,175,194,-1,-1,-1,0,270,0,23.67224,13,13,18,18,63,71,76,123,83,100,145,-1,-1,-1,-1,44,0,0,16.29796,14,10,18,18,81,76,63,116,131,100,-1,-1,-1,-1,-1,0,0,0,31.95116,17,13,18,18,82,55,118,105,121,40,856,-1,-1,-1,-1,96,234,0,1,13.12276,16,0,18,18,91,100,77,86,88,110,221,825,-1,-1,-1,81,270,0,11.091,13,3,18,18,61,61,70,133,91,113,835,-1,-1,-1,-1,100,0,0,6.63916,10,16,18,18,70,71,120,111,113,70,402,95,741,489,-1,67,234,0,15.92536,0,2,18,18,123,78,123,61,120,33,-1,-1,-1,-1,-1,100,0,0,42.34132,14,2,18,18,76,75,124,91,147,50,641,-1,-1,-1,-1,89,0,0,14.10088,12,9,18,18,81,110,83,66,64,110,-1,-1,-1,-1,-1,100,0,0,2,6,340,537,525.0,340.0,-0.12,1000,1000,0
