turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,-1,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,9.80992,3,16,18,18,64,79,110,71,92,63,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,1,8,600,600,,,0.0,1000,1055,1
1,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,-1,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,9.80992,3,16,18,18,64,79,110,71,92,63,-1,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,1,8,600,600,600.0,600.0,0.0,1000,1055,1
2,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,-1,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,100,0,0,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,1,1,600,600,600.0,600.0,0.0,1000,1055,1
3,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,100,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,-1,-1,-1,-1,-1,94,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,0,2,600,594,600.0,600.0,0.06,1000,1055,1
4,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,60,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,100,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,75,-1,-1,-1,-1,82,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,0,3,560,582,594.0,600.0,0.32,1000,1055,1
5,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,60,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,-1,-1,-1,-1,-1,81,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,75,179,-1,-1,-1,63,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,0,9,541,563,582.0,560.0,0.285,1000,1055,1
6,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,60,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,-1,-1,-1,-1,81,0,0,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,75,179,-1,-1,-1,63,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,-1,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,2,9,541,563,563.0,541.0,0.0,1000,1055,1
7,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,60,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,-1,-1,-1,81,0,2,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,75,179,-1,-1,-1,63,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,854,-1,-1,-1,-1,100,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,2,1,541,563,563.0,541.0,0.0,1000,1055,1
8,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,60,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,217,-1,-1,81,0,2,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,4,40.1014,17,14,18,18,91,68,75,105,113,102,75,179,-1,-1,-1,63,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,854,-1,-1,-1,-1,57,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,2,2,541,520,563.0,541.0,0.43,1000,1055,1
9,17.96308,7,10,18,18,65,71,104,68,131,31,-1,-1,-1,-1,-1,100,0,0,19.6396,11,8,18,18,76,120,93,63,74,105,-1,-1,-1,-1,-1,100,0,0,15.44496,15,3,18,18,91,91,80,121,93,109,-1,-1,-1,-1,-1,100,0,0,5.95432,8,7,18,18,76,78,85,56,90,98,779,775,806,-1,-1,17,0,0,5.71976,16,9,18,18,97,122,96,100,100,86,175,838,217,-1,-1,81,0,2,10.77936,2,8,18,18,103,123,83,80,80,73,-1,-1,-1,-1,-1,100,0,0,3,40.1014,17,14,18,18,91,68,75,105,113,102,75,179,-1,-1,-1,63,0,6,9.80992,3,16,18,18,64,79,110,71,92,63,159,-1,-1,-1,-1,100,0,0,2.34024,1,8,18,18,91,90,86,105,78,53,854,245,-1,-1,-1,57,0,0,6.63184,16,10,18,18,75,68,90,93,131,90,-1,-1,-1,-1,-1,100,0,0,-0.01888,8,9,18,18,75,95,125,45,75,95,-1,-1,-1,-1,-1,100,0,0,23.4984,13,0,18,18,68,71,76,141,85,86,-1,-1,-1,-1,-1,100,0,0,2,8,498,520,520.0,541.0,0.215,1000,1055,1
