turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,14.47304,12,10,18,18,115,92,90,99,94,86,-1,-1,-1,-1,-1,100,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,-1,-1,-1,-1,-1,100,0,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,0,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,-1,-1,-1,-1,-1,100,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,2,5,600,600,,,0.0,1150,1047,0
1,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,-1,-1,-1,-1,-1,100,0,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,0,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,-1,-1,-1,-1,69,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,2,5,594,569,600.0,600.0,0.34,1150,1047,0
2,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,-1,-1,-1,-1,-1,100,0,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,4,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,-1,-1,-1,63,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,2,9,594,563,569.0,594.0,0.06,1150,1047,0
3,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,-1,-1,-1,-1,91,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,4,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,57,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,2,9,585,557,563.0,594.0,0.105,1150,1047,0
4,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,-1,-1,-1,-1,81,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,4,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,26,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,2,1,575,526,557.0,585.0,0.36,1150,1047,0
5,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,-1,-1,-1,-1,71,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,4,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,-1,-1,-1,-1,-1,100,0,0,5,1,565,500,526.0,575.0,0.31,1150,1047,0
6,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,94,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,61,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,4,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,-1,-1,-1,-1,67,0,0,5,1,555,467,500.0,565.0,0.38,1150,1047,0
7,14.47304,12,10,18,18,115,92,90,99,94,86,37,-1,-1,-1,-1,82,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,0,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,100,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,5,5,482,467,467.0,555.0,0.365,1150,1047,0
8,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,100,0,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,0,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,-1,-1,-1,-1,-1,90,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,1,476,457,467.0,482.0,0.13,1150,1047,0
9,14.47304,12,10,18,18,115,92,90,99,94,86,37,221,-1,-1,-1,76,0,0,6.89476,16,5,18,18,76,61,133,70,110,43,-1,-1,-1,-1,-1,78,234,0,14.00628,11,9,18,18,60,93,59,53,62,144,-1,-1,-1,-1,-1,100,0,0,5.46216,5,8,18,18,55,86,70,103,86,101,-1,-1,-1,-1,-1,100,0,0,7.01588,2,5,18,18,86,121,69,55,95,110,389,182,-1,-1,-1,0,270,0,9.04012,5,17,18,18,63,61,68,102,88,109,-1,-1,-1,-1,-1,100,0,0,1,9.9764,2,7,18,18,76,101,92,71,78,100,-1,-1,-1,-1,-1,100,0,0,1.39,15,8,18,18,77,98,68,101,78,88,-1,-1,-1,-1,-1,100,0,0,19.723,14,17,18,18,92,88,88,79,81,111,752,779,729,-1,-1,0,0,0,18.82512,16,9,18,18,72,90,107,64,63,100,-1,-1,-1,-1,-1,100,0,0,8.9224,16,17,18,18,89,76,76,108,105,86,249,-1,-1,-1,-1,84,0,0,6.03324,0,3,18,18,133,116,74,75,99,56,142,79,-1,-1,-1,67,0,0,4,6,454,451,457.0,476.0,0.17,1150,1047,0
