turn_num,p1_poke0_fusion_id,p1_poke0_type1,p1_poke0_type2,p1_poke0_type3,p1_poke0_type4,p1_poke0_hp,p1_poke0_attack,p1_poke0_special-attack,p1_poke0_defense,p1_poke0_special-defense,p1_poke0_speed,p1_poke0_move1,p1_poke0_move2,p1_poke0_move3,p1_poke0_move4,p1_poke0_ability,p1_poke0_hpPercent,p1_poke0_item,p1_poke0_status,p1_poke1_fusion_id,p1_poke1_type1,p1_poke1_type2,p1_poke1_type3,p1_poke1_type4,p1_poke1_hp,p1_poke1_attack,p1_poke1_special-attack,p1_poke1_defense,p1_poke1_special-defense,p1_poke1_speed,p1_poke1_move1,p1_poke1_move2,p1_poke1_move3,p1_poke1_move4,p1_poke1_ability,p1_poke1_hpPercent,p1_poke1_item,p1_poke1_status,p1_poke2_fusion_id,p1_poke2_type1,p1_poke2_type2,p1_poke2_type3,p1_poke2_type4,p1_poke2_hp,p1_poke2_attack,p1_poke2_special-attack,p1_poke2_defense,p1_poke2_special-defense,p1_poke2_speed,p1_poke2_move1,p1_poke2_move2,p1_poke2_move3,p1_poke2_move4,p1_poke2_ability,p1_poke2_hpPercent,p1_poke2_item,p1_poke2_status,p1_poke3_fusion_id,p1_poke3_type1,p1_poke3_type2,p1_poke3_type3,p1_poke3_type4,p1_poke3_hp,p1_poke3_attack,p1_poke3_special-attack,p1_poke3_defense,p1_poke3_special-defense,p1_poke3_speed,p1_poke3_move1,p1_poke3_move2,p1_poke3_move3,p1_poke3_move4,p1_poke3_ability,p1_poke3_hpPercent,p1_poke3_item,p1_poke3_status,p1_poke4_fusion_id,p1_poke4_type1,p1_poke4_type2,p1_poke4_type3,p1_poke4_type4,p1_poke4_hp,p1_poke4_attack,p1_poke4_special-attack,p1_poke4_defense,p1_poke4_special-defense,p1_poke4_speed,p1_poke4_move1,p1_poke4_move2,p1_poke4_move3,p1_poke4_move4,p1_poke4_ability,p1_poke4_hpPercent,p1_poke4_item,p1_poke4_status,p1_poke5_fusion_id,p1_poke5_type1,p1_poke5_type2,p1_poke5_type3,p1_poke5_type4,p1_poke5_hp,p1_poke5_attack,p1_poke5_special-attack,p1_poke5_defense,p1_poke5_special-defense,p1_poke5_speed,p1_poke5_move1,p1_poke5_move2,p1_poke5_move3,p1_poke5_move4,p1_poke5_ability,p1_poke5_hpPercent,p1_poke5_item,p1_poke5_status,p1_curr_active,p2_poke0_fusion_id,p2_poke0_type1,p2_poke0_type2,p2_poke0_type3,p2_poke0_type4,p2_poke0_hp,p2_poke0_attack,p2_poke0_special-attack,p2_poke0_defense,p2_poke0_special-defense,p2_poke0_speed,p2_poke0_move1,p2_poke0_move2,p2_poke0_move3,p2_poke0_move4,p2_poke0_ability,p2_poke0_hpPercent,p2_poke0_item,p2_poke0_status,p2_poke1_fusion_id,p2_poke1_type1,p2_poke1_type2,p2_poke1_type3,p2_poke1_type4,p2_poke1_hp,p2_poke1_attack,p2_poke1_special-attack,p2_poke1_defense,p2_poke1_special-defense,p2_poke1_speed,p2_poke1_move1,p2_poke1_move2,p2_poke1_move3,p2_poke1_move4,p2_poke1_ability,p2_poke1_hpPercent,p2_poke1_item,p2_poke1_status,p2_poke2_fusion_id,p2_poke2_type1,p2_poke2_type2,p2_poke2_type3,p2_poke2_type4,p2_poke2_hp,p2_poke2_attack,p2_poke2_special-attack,p2_poke2_defense,p2_poke2_special-defense,p2_poke2_speed,p2_poke2_move1,p2_poke2_move2,p2_poke2_move3,p2_poke2_move4,p2_poke2_ability,p2_poke2_hpPercent,p2_poke2_item,p2_poke2_status,p2_poke3_fusion_id,p2_poke3_type1,p2_poke3_type2,p2_poke3_type3,p2_poke3_type4,p2_poke3_hp,p2_poke3_attack,p2_poke3_special-attack,p2_poke3_defense,p2_poke3_special-defense,p2_poke3_speed,p2_poke3_move1,p2_poke3_move2,p2_poke3_move3,p2_poke3_move4,p2_poke3_ability,p2_poke3_hpPercent,p2_poke3_item,p2_poke3_status,p2_poke4_fusion_id,p2_poke4_type1,p2_poke4_type2,p2_poke4_type3,p2_poke4_type4,p2_poke4_hp,p2_poke4_attack,p2_poke4_special-attack,p2_poke4_defense,p2_poke4_special-defense,p2_poke4_speed,p2_poke4_move1,p2_poke4_move2,p2_poke4_move3,p2_poke4_move4,p2_poke4_ability,p2_poke4_hpPercent,p2_poke4_item,p2_poke4_status,p2_poke5_fusion_id,p2_poke5_type1,p2_poke5_type2,p2_poke5_type3,p2_poke5_type4,p2_poke5_hp,p2_poke5_attack,p2_poke5_special-attack,p2_poke5_defense,p2_poke5_special-defense,p2_poke5_speed,p2_poke5_move1,p2_poke5_move2,p2_poke5_move3,p2_poke5_move4,p2_poke5_ability,p2_poke5_hpPercent,p2_poke5_item,p2_poke5_status,p2_curr_active,decision,player1_total_hpPercent,player2_total_hpPercent,previous_p2_hp_percent,previous_p1_hp_percent,movement_value,player1_elo,player2_elo,win
0,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,-1,-1,-1,-1,-1,100,0,0,0,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,100,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,-1,-1,-1,-1,-1,100,0,0,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,-1,-1,-1,-1,-1,100,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,1,5,600,600,,,0.0,1096,1232,1
1,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,-1,-1,-1,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,100,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,100,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,-1,-1,-1,-1,-1,100,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,1,10,600,600,600.0,600.0,0.0,1096,1232,1
2,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,-1,-1,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,100,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,-1,-1,-1,-1,-1,100,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,4,10,600,500,600.0,600.0,1.0,1096,1232,1
3,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,-1,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,100,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,4,1,600,476,500.0,600.0,0.24,1096,1232,1
4,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,-1,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,13,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,0,2,600,389,476.0,600.0,0.87,1096,1232,1
5,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,-1,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,0,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,-1,-1,-1,-1,-1,100,0,0,5,2,600,376,389.0,600.0,0.13,1096,1232,1
6,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,151,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,0,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,668,-1,-1,-1,-1,100,0,0,5,2,600,376,376.0,600.0,0.0,1096,1232,1
7,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,151,-1,-1,100,0,0,5,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,0,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,668,-1,-1,-1,-1,40,0,0,5,1,600,316,376.0,600.0,0.6,1096,1232,1
8,8.07564,1,3,18,18,72,76,65,86,86,105,-1,-1,-1,-1,-1,100,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,151,-1,-1,0,0,0,0,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,0,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,668,79,-1,-1,-1,17,253,0,5,5,500,293,316.0,600.0,0.73,1096,1232,1
9,8.07564,1,3,18,18,72,76,65,86,86,105,835,-1,-1,-1,-1,6,0,0,9.84188,4,14,18,18,80,108,107,89,86,74,-1,-1,-1,-1,-1,100,0,0,11.47372,1,14,18,18,87,117,106,89,73,79,-1,-1,-1,-1,-1,100,0,0,25.45504,16,2,18,18,70,67,151,67,147,40,-1,-1,-1,-1,-1,100,0,0,4.21372,2,8,18,18,86,93,103,73,113,56,-1,-1,-1,-1,-1,100,0,0,11.14648,9,8,18,18,86,84,84,89,81,91,384,193,151,-1,-1,0,0,0,0,4.4466,3,2,18,18,73,78,105,115,95,72,-1,-1,-1,-1,-1,0,0,0,17.70952,8,9,18,18,78,65,105,70,88,85,729,-1,-1,-1,-1,0,272,6,9.0206,14,1,18,18,80,122,83,73,73,95,-1,-1,-1,-1,-1,100,0,0,1.19704,16,17,18,18,81,75,115,68,73,50,-1,-1,-1,-1,-1,100,0,0,1.54984,7,3,18,18,84,90,75,95,83,105,752,-1,-1,-1,-1,76,0,0,32.00572,16,9,18,18,66,87,85,71,79,114,668,79,-1,-1,-1,0,253,0,2,5,406,276,293.0,500.0,0.64,1096,1232,1
